Name,Address,Rating,Total Reviews,Latitude,Longitude,Phone Number,Opening Hours,Website,Business Status,Place ID
THE TEROTALE,"Dr. Babasaheb Ambedkar Rd, opposite to city center mall, beside lakshika mangal karyalay, DR BR, Forest Colony, Parijat Nagar, Nashik, Maharashtra 422002, India",4.8,5219,19.9913583,73.76076739999999,+91 91303 03308,"Monday: 12:00 – 11:00 PM, Tuesday: 12:00 – 11:00 PM, Wednesday: 12:00 – 11:00 PM, Thursday: 12:00 – 11:00 PM, Friday: 12:00 – 11:00 PM, Saturday: 12:00 – 11:00 PM, Sunday: 12:00 – 11:00 PM",,OPERATIONAL,ChIJkUymHXbr3TsReuBe1R11CUY
River Dine Restaurant & Banquet,"Opp Asaram Bapu Aashram Bridge, Near Nandawan Lawns, Savarkar Nagar Extension, Off, Gangapur Rd, Abhiyanta Naksh Colony, Datey Nagar, Veer Sawarkar Nagar, Nashik, Maharashtra 422013, India",4.0,2809,20.020035,73.7560763,+91 99232 73444,"Monday: 11:30 AM – 12:00 AM, Tuesday: 11:30 AM – 12:00 AM, Wednesday: 11:30 AM – 12:00 AM, Thursday: 11:30 AM – 12:00 AM, Friday: 11:30 AM – 12:00 AM, Saturday: 11:30 AM – 12:00 AM, Sunday: 11:30 AM – 12:00 AM",,OPERATIONAL,ChIJJ6K2xIzr3TsR-rCtMbSkg9g
"Shree Rajbhog Thali, Mumbai Naka | Best thali restaurant in nashik | Best food in Nashik | Veg thali in Nashik","Near Hotel Sandeep, Besides Kalika Mandir, Mumbai Naka, Nashik, Mumbai Naka, Matoshree Nagar, Nashik, Maharashtra 422001, India",4.7,18405,19.9903843,73.78277039999999,+91 90111 98765,"Monday: 12:00 – 3:30 PM, 7:00 – 11:00 PM, Tuesday: 12:00 – 3:30 PM, 7:00 – 11:00 PM, Wednesday: 12:00 – 3:30 PM, 7:00 – 11:00 PM, Thursday: 12:00 – 3:30 PM, 7:00 – 11:00 PM, Friday: 12:00 – 3:30 PM, 7:00 – 11:00 PM, Saturday: 12:00 – 4:00 PM, 7:00 – 11:00 PM, Sunday: 12:00 – 4:00 PM, 7:00 – 11:00 PM",,OPERATIONAL,ChIJ4f___wDr3TsRKVxNYcXX4LE
Flying Monk,"3rd floor, Archit Arcade, College Rd, behind Big Bazaar, Ramdas Colony, Nashik, Maharashtra 422005, India",4.0,712,20.0054869,73.7652758,+91 95617 05405,"Monday: 11:00 AM – 12:00 AM, Tuesday: 11:00 AM – 12:00 AM, Wednesday: 11:00 AM – 12:00 AM, Thursday: 11:00 AM – 12:00 AM, Friday: 11:00 AM – 12:00 AM, Saturday: 11:00 AM – 12:00 AM, Sunday: 11:00 AM – 12:00 AM",,OPERATIONAL,ChIJD5jTuc7r3TsRHR2l4wK06Ho
Udupi Tadka Sukhsagar Restaurant,"2Q4P+77F, Ashok Stambh, Raviwar Karanja, Panchavati, Nashik, Maharashtra 422001, India",4.6,93,20.0056278,73.78553219999999,+91 89560 36928,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",,OPERATIONAL,ChIJtWWCFj3r3TsRptU6f5jmaAQ
21st Century Restaurant,"Kulkarni Garden Chowk, Racca Colony, Summati Colony, Nashik, Maharashtra 422005, India",4.3,472,20.0025512,73.7732006,,N/A,,OPERATIONAL,ChIJy-BRnnTr3TsRKyBggdk2BKU
The Namastey Nashik,"Shop No.1, Ganesh gunjan apartment, Lawate nagar, Lavate Nager, Parijat Nagar, Nashik, Maharashtra 422002, India",4.6,1899,19.9908815,73.7591228,+91 253 299 5031,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 11:00 PM",,OPERATIONAL,ChIJX6ebH8_r3TsRtZkW9wU9JBE
The Second Empire,"2Q95+9MJ, Gangapur Rd, Date Nagar, Pramod Nagar, Nashik, Maharashtra 422013, India",4.2,1770,20.0191251,73.7589205,+91 253 234 4990,"Monday: 12:00 – 3:00 PM, 7:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 – 3:00 PM, 7:00 PM – 12:00 AM, Friday: 12:00 PM – 12:00 AM, Saturday: 12:00 PM – 12:00 AM, Sunday: 12:00 PM – 12:00 AM",,OPERATIONAL,ChIJGQlUwtHr3TsR1-BwbXg0exs
Krishna Leela Pure Veg,"Ahilyadevi Holkar Rd, opp. Suyash Hospital, Mumbai Naka, Matoshree Nagar, Nashik, Maharashtra 422002, India",4.7,153,19.9893456,73.7794745,,"Monday: 10:30 AM – 11:00 PM, Tuesday: 10:30 AM – 11:00 PM, Wednesday: 10:30 AM – 11:00 PM, Thursday: 10:30 AM – 11:30 PM, Friday: 10:30 AM – 11:00 PM, Saturday: 10:30 AM – 11:00 PM, Sunday: 10:30 AM – 11:00 PM",http://krishnaleelapureveg.com/,OPERATIONAL,ChIJLTRUjrHr3TsRr_WxlS6ldDs
The Five Elements Restaurant,"Mahatma Nagar-Untwadi Rd, Lavate Nager, Parijat Nagar, Nashik, Maharashtra 422005, India",4.5,16084,19.9908062,73.7574152,+91 253 231 4525,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 11:00 PM",https://www.facebook.com/5elementsnashik,OPERATIONAL,ChIJpwSBOHrr3TsRMrb9RXAoZqA
