Area,Name,Rating,Total Ratings,Address,Latitude,Longitude
Colaba,Cafe Basilico - Colaba,4.2,1203,"Sentinel House, Ground Floor, Arthur Bunder Rd, Azmi Street, Colaba, Mumbai, Maharashtra 400005, India",18.918783,72.830502
Colaba,Leopold Cafe,4.2,29972,"Police Station, Shahid Bhagat Singh Road, Colaba Causeway, near Colaba, Mumbai, Maharashtra 400001, India",18.9226402,72.8316401
Colaba,Bay view Cafe,4.2,3443,"25, PJ Ramchandani Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9188514,72.8319915
Colaba,Cafe Churchill,4.3,2868,"East West Court Building, Colaba Causeway, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9199081,72.8302691
Colaba,Mag St.,4.4,1283,"Mag St., 4, Mandlik Rd, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9221086,72.83241559999999
Colaba,Cafe Mondegar,4.4,4578,"Metro House, Colaba Causeway, near Regal Cinema, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9240503,72.8321547
Colaba,Olympia Coffee House,4.3,6192,"Rahim Mansion, 1, Shahid Bhagat Singh Rd, Scindia Society, Police Colony, Apollo Bandar, Colaba, Mumbai, Maharashtra 400039, India",18.922886,72.83138559999999
Colaba,Colaba SOCIAL,4.2,9490,"B K Boman Behram Marg Shop 24, Ground Floor, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9216619,72.8322984
Colaba,Bake House Cafe,4.4,3447,"WRHJ+6XF, Chamber of Commerce Ln, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.928067,72.832416
Colaba,Kala Ghoda Cafe,4.3,4955,"10, Rope Walk Ln, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.9284954,72.8322067
Colaba,Zen Cafe,4.3,1136,"Fort Foundation Building, Bake House Ln, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.9276626,72.832998
Colaba,Kuckeliku Breakfast House,4.2,542,"First Floor, Kamal Mansion, 4/25, Arthur Bunder Rd, near Radio Club, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005, India",18.9182944,72.8308737
Colaba,Banyan Tree Cafe,4.3,1395,"7, 9, Calicut Rd, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",18.935253,72.8383786
Colaba,Theobroma,4.4,3926,"Shop No 24, Cusrow Baug, Shahid Bhagat Singh Road, Colaba Causeway, Colaba, Mumbai, Maharashtra 400005, India",18.9192596,72.8291845
Colaba,ARAKU Coffee,3.9,166,"No. 1, Sunny House, Mandlik Rd, behind The Taj Mahal Palace, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9221204,72.83255439999999
Colaba,Cafe Marina,3.9,1747,"Sea Palace Hotel Mumbai, 26, PJ Ramchandani Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9190833,72.83196939999999
Colaba,The Cacao Mill by Subko,4.3,668,"2nd Pasta Lane, Market, Badhwar Park, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005, India",18.9183529,72.8277157
Colaba,US Club Fine Dine Cafe Lounge,4.6,3798,"WR24+52C, Mosque Ln, Navy Nagar, Colaba, Mumbai, Maharashtra 400005, India",18.9004264,72.8050118
Colaba,Kitchen Garden,4.3,335,"Nowroji Mansion, Roosevelt House, Furdonji Road, behind Taj Hotel, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9226213,72.8325572
Colaba,Smoke House Deli Colaba,4.3,748,"B K Boman Behram Marg Ground Floor, Building 24, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9216974,72.8322608
Colaba,Third Wave Coffee,4.8,1251,"Ground Floor, Star Mansion, Plot No 66, Wodehouse Rd, Cuffe Parade, Mumbai, Maharashtra 400005, India",18.9149945,72.8236451
Colaba,Mockingbird Cafe Bar,4.4,7038,"80, Veer Nariman Rd, Churchgate, Mumbai, Maharashtra 400020, India",18.9335015,72.82627500000001
Colaba,Shamiana,4.4,1907,"The Taj Mahal Palace Hotel, B K Boman Behram Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9220554,72.8330387
Colaba,Cafe Universal RESTAURANT &BAR,4.3,2111,"299, Shahid Bhagat Singh Rd, opp. Geo Chem Laboratories, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",18.9361382,72.8376123
Colaba,Mews Cafe,4.5,128,"Taj Wellington Mews, 33, Nathalal Parikh Marg, Cusrow Baug Colony, Apollo, Bandar, Maharashtra 400001, India",18.921534,72.828178
Colaba,Madras Cafe,4.0,3057,"Aziz Mansion, Shahid Bhagat Singh Rd, Railway Colony, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005, India",18.918354,72.8282565
